fund,quarter,sector,weight
BRK,2016Q4,Consumer Discretionary,0.0118
BRK,2016Q4,Consumer Staples,0.3042
BRK,2016Q4,Energy,0.0471
BRK,2016Q4,Financials,0.3243
BRK,2016Q4,Healthcare,0.0167
BRK,2016Q4,Industrials,0.0633
BRK,2016Q4,Materials,0.0076
BRK,2016Q4,Technology,0.1427
BRK,2017Q1,Communication Services,0.0191
BRK,2017Q1,Consumer Discretionary,0.0109
BRK,2017Q1,Consumer Staples,0.2876
BRK,2017Q1,Energy,0.0395
BRK,2017Q1,Financials,0.3084
BRK,2017Q1,Healthcare,0.016200000000000003
BRK,2017Q1,Industrials,0.056900000000000006
BRK,2017Q1,Materials,0.0077
BRK,2017Q1,Technology,0.1913
BRK,2017Q2,Communication Services,0.0276
BRK,2017Q2,Consumer Discretionary,0.0129
BRK,2017Q2,Consumer Staples,0.28259999999999996
BRK,2017Q2,Energy,0.0412
BRK,2017Q2,Financials,0.31520000000000004
BRK,2017Q2,Healthcare,0.0154
BRK,2017Q2,Industrials,0.0636
BRK,2017Q2,Technology,0.1743
BRK,2017Q3,Communication Services,0.0174
BRK,2017Q3,Consumer Discretionary,0.013600000000000001
BRK,2017Q3,Consumer Staples,0.2434
BRK,2017Q3,Energy,0.0416
BRK,2017Q3,Financials,0.3927
BRK,2017Q3,Healthcare,0.0129
BRK,2017Q3,Industrials,0.051699999999999996
BRK,2017Q3,Technology,0.15430000000000002
BRK,2017Q4,Communication Services,0.0149
BRK,2017Q4,Consumer Discretionary,0.010700000000000001
BRK,2017Q4,Consumer Staples,0.2284
BRK,2017Q4,Energy,0.042699999999999995
BRK,2017Q4,Financials,0.404
BRK,2017Q4,Healthcare,0.0146
BRK,2017Q4,Industrials,0.0543
BRK,2017Q4,Materials,0.0079
BRK,2017Q4,Technology,0.15410000000000001
BRK,2018Q1,Communication Services,0.013500000000000002
BRK,2018Q1,Consumer Discretionary,0.0096
BRK,2018Q1,Consumer Staples,0.19929999999999998
BRK,2018Q1,Energy,0.0232
BRK,2018Q1,Financials,0.3862
BRK,2018Q1,Healthcare,0.013500000000000002
BRK,2018Q1,Industrials,0.0528
BRK,2018Q1,Materials,0.0083
BRK,2018Q1,Technology,0.2127
BRK,2018Q1,Unknown,0.011699999999999999
BRK,2018Q2,Communication Services,0.011200000000000002
BRK,2018Q2,Consumer Discretionary,0.0104
BRK,2018Q2,Consumer Staples,0.19430000000000003
BRK,2018Q2,Energy,0.0199
BRK,2018Q2,Financials,0.38199999999999995
BRK,2018Q2,Healthcare,0.0137
BRK,2018Q2,Industrials,0.049
BRK,2018Q2,Materials,0.0086
BRK,2018Q2,Technology,0.2475
BRK,2018Q3,Communication Services,0.0108
BRK,2018Q3,Consumer Discretionary,0.008
BRK,2018Q3,Consumer Staples,0.1648
BRK,2018Q3,Financials,0.3984
BRK,2018Q3,Healthcare,0.0125
BRK,2018Q3,Industrials,0.0516
BRK,2018Q3,Technology,0.277
BRK,2018Q4,Communication Services,0.0109
BRK,2018Q4,Consumer Discretionary,0.0132
BRK,2018Q4,Consumer Staples,0.18009999999999998
BRK,2018Q4,Financials,0.4223
BRK,2018Q4,Healthcare,0.0108
BRK,2018Q4,Industrials,0.0495
BRK,2018Q4,Materials,0.0091
BRK,2018Q4,Technology,0.22560000000000002
BRK,2019Q1,Communication Services,0.009899999999999999
BRK,2019Q1,Consumer Discretionary,0.0134
BRK,2019Q1,Consumer Staples,0.1473
BRK,2019Q1,Financials,0.43660000000000004
BRK,2019Q1,Healthcare,0.0105
BRK,2019Q1,Industrials,0.0412
BRK,2019Q1,Materials,0.0085
BRK,2019Q1,Technology,0.2495
BRK,2019Q2,Communication Services,0.0103
BRK,2019Q2,Consumer Discretionary,0.0134
BRK,2019Q2,Consumer Staples,0.1465
BRK,2019Q2,Financials,0.4449
BRK,2019Q2,Healthcare,0.0104
BRK,2019Q2,Industrials,0.0484
BRK,2019Q2,Technology,0.25039999999999996
BRK,2019Q3,Communication Services,0.0104
BRK,2019Q3,Consumer Discretionary,0.0126
BRK,2019Q3,Consumer Staples,0.1438
BRK,2019Q3,Financials,0.438
BRK,2019Q3,Healthcare,0.0103
BRK,2019Q3,Industrials,0.0415
BRK,2019Q3,Technology,0.271
BRK,2019Q4,Communication Services,0.0171
BRK,2019Q4,Consumer Discretionary,0.0113
BRK,2019Q4,Consumer Staples,0.1347
BRK,2019Q4,Financials,0.41150000000000003
BRK,2019Q4,Healthcare,0.012
BRK,2019Q4,Industrials,0.0371
BRK,2019Q4,Technology,0.3077
BRK,2020Q1,Communication Services,0.013500000000000002
BRK,2020Q1,Consumer Discretionary,0.014700000000000001
BRK,2020Q1,Consumer Staples,0.1537
BRK,2020Q1,Financials,0.3557
BRK,2020Q1,Healthcare,0.0165
BRK,2020Q1,Industrials,0.0226
BRK,2020Q1,Technology,0.3683
BRK,2020Q2,Communication Services,0.0205
BRK,2020Q2,Consumer Discretionary,0.0166
BRK,2020Q2,Consumer Staples,0.1498
BRK,2020Q2,Financials,0.3076
BRK,2020Q2,Healthcare,0.0149
BRK,2020Q2,Technology,0.45489999999999997
BRK,2020Q3,Communication Services,0.028499999999999998
BRK,2020Q3,Consumer Discretionary,0.0171
BRK,2020Q3,Consumer Staples,0.125
BRK,2020Q3,Energy,0.013500000000000002
BRK,2020Q3,Financials,0.24960000000000002
BRK,2020Q3,Healthcare,0.0366
BRK,2020Q3,Technology,0.4746
BRK,2020Q4,Communication Services,0.051699999999999996
BRK,2020Q4,Consumer Discretionary,0.011200000000000002
BRK,2020Q4,Consumer Staples,0.12310000000000001
BRK,2020Q4,Energy,0.0152
BRK,2020Q4,Financials,0.2499
BRK,2020Q4,Healthcare,0.0422
BRK,2020Q4,Technology,0.4528
BRK,2021Q1,Communication Services,0.0531
BRK,2021Q1,Consumer Discretionary,0.0203
BRK,2021Q1,Consumer Staples,0.133
BRK,2021Q1,Energy,0.0092
BRK,2021Q1,Financials,0.298
BRK,2021Q1,Healthcare,0.0308
BRK,2021Q1,Technology,0.4101
BRK,2021Q2,Communication Services,0.05
BRK,2021Q2,Consumer Discretionary,0.0184
BRK,2021Q2,Consumer Staples,0.1273
BRK,2021Q2,Energy,0.0083
BRK,2021Q2,Financials,0.3039
BRK,2021Q2,Healthcare,0.028700000000000003
BRK,2021Q2,Technology,0.42460000000000003
BRK,2021Q3,Communication Services,0.0466
BRK,2021Q3,Consumer Discretionary,0.016800000000000002
BRK,2021Q3,Consumer Staples,0.12090000000000001
BRK,2021Q3,Energy,0.009899999999999999
BRK,2021Q3,Financials,0.3083
BRK,2021Q3,Healthcare,0.0196
BRK,2021Q3,Technology,0.4431
BRK,2021Q4,Communication Services,0.039
BRK,2021Q4,Consumer Discretionary,0.016
BRK,2021Q4,Consumer Staples,0.1153
BRK,2021Q4,Energy,0.013600000000000001
BRK,2021Q4,Financials,0.2837
BRK,2021Q4,Healthcare,0.0124
BRK,2021Q4,Technology,0.49210000000000004
BRK,2022Q1,Communication Services,0.0183
BRK,2022Q1,Consumer Discretionary,0.0075
BRK,2022Q1,Consumer Staples,0.1127
BRK,2022Q1,Energy,0.0926
BRK,2022Q1,Financials,0.2519
BRK,2022Q1,Healthcare,0.011200000000000002
BRK,2022Q1,Technology,0.4461
BRK,2022Q1,Unknown,0.014199999999999999
BRK,2022Q2,Communication Services,0.012400000000000001
BRK,2022Q2,Consumer Discretionary,0.005600000000000001
BRK,2022Q2,Consumer Staples,0.1335
BRK,2022Q2,Energy,0.109
BRK,2022Q2,Financials,0.2396
BRK,2022Q2,Healthcare,0.0096
BRK,2022Q2,Technology,0.4261
BRK,2022Q2,Unknown,0.0177
BRK,2022Q3,Communication Services,0.0114
BRK,2022Q3,Consumer Discretionary,0.0054
BRK,2022Q3,Consumer Staples,0.1198
BRK,2022Q3,Energy,0.1205
BRK,2022Q3,Financials,0.2189
BRK,2022Q3,Healthcare,0.0101
BRK,2022Q3,Technology,0.4478
BRK,2022Q3,Unknown,0.0151
BRK,2022Q4,Communication Services,0.011
BRK,2022Q4,Consumer Discretionary,0.005600000000000001
BRK,2022Q4,Consumer Staples,0.1369
BRK,2022Q4,Energy,0.1387
BRK,2022Q4,Financials,0.2329
BRK,2022Q4,Healthcare,0.009000000000000001
BRK,2022Q4,Technology,0.4072
BRK,2022Q4,Unknown,0.013500000000000002
BRK,2023Q1,Communication Services,0.0106
BRK,2023Q1,Consumer Discretionary,0.0045000000000000005
BRK,2023Q1,Consumer Staples,0.12259999999999999
BRK,2023Q1,Energy,0.1072
BRK,2023Q1,Financials,0.2135
BRK,2023Q1,Healthcare,0.009000000000000001
BRK,2023Q1,Technology,0.4836
BRK,2023Q1,Unknown,0.013000000000000001
BRK,2023Q2,Communication Services,0.0124
BRK,2023Q2,Consumer Discretionary,0.004
BRK,2023Q2,Consumer Staples,0.1091
BRK,2023Q2,Energy,0.0934
BRK,2023Q2,Financials,0.2074
BRK,2023Q2,Healthcare,0.0104
BRK,2023Q2,Technology,0.529
BRK,2023Q3,Communication Services,0.0091
BRK,2023Q3,Consumer Discretionary,0.004
BRK,2023Q3,Consumer Staples,0.11299999999999999
BRK,2023Q3,Energy,0.1052
BRK,2023Q3,Financials,0.21430000000000002
BRK,2023Q3,Healthcare,0.0108
BRK,2023Q3,Technology,0.5143
BRK,2023Q4,Communication Services,0.007699999999999999
BRK,2023Q4,Consumer Discretionary,0.0043
BRK,2023Q4,Consumer Staples,0.1077
BRK,2023Q4,Energy,0.0948
BRK,2023Q4,Financials,0.24340000000000003
BRK,2023Q4,Healthcare,0.010700000000000001
BRK,2023Q4,Technology,0.5064
BRK,2024Q1,Communication Services,0.0059
BRK,2024Q1,Consumer Discretionary,0.0054
BRK,2024Q1,Consumer Staples,0.11860000000000001
BRK,2024Q1,Energy,0.1071
BRK,2024Q1,Financials,0.3086
BRK,2024Q1,Healthcare,0.015
BRK,2024Q1,Technology,0.4154
BRK,2024Q2,Communication Services,0.0055000000000000005
BRK,2024Q2,Consumer Discretionary,0.0069
BRK,2024Q2,Consumer Staples,0.1373
BRK,2024Q2,Energy,0.1238
BRK,2024Q2,Financials,0.3745
BRK,2024Q2,Healthcare,0.0179
BRK,2024Q2,Technology,0.309
BRK,2024Q3,Communication Services,0.009300000000000001
BRK,2024Q3,Consumer Discretionary,0.006999999999999999
BRK,2024Q3,Consumer Staples,0.1616
BRK,2024Q3,Energy,0.11499999999999999
BRK,2024Q3,Financials,0.3903
BRK,2024Q3,Healthcare,0.0222
BRK,2024Q3,Technology,0.27149999999999996
BRK,2024Q4,Communication Services,0.01
BRK,2024Q4,Consumer Discretionary,0.008199999999999999
BRK,2024Q4,Consumer Staples,0.1467
BRK,2024Q4,Energy,0.1132
BRK,2024Q4,Financials,0.3841
BRK,2024Q4,Healthcare,0.0202
BRK,2024Q4,Technology,0.2915
BRK,2025Q1,Communication Services,0.0104
BRK,2025Q1,Consumer Discretionary,0.0119
BRK,2025Q1,Consumer Staples,0.1699
BRK,2025Q1,Energy,0.1267
BRK,2025Q1,Financials,0.3648
BRK,2025Q1,Healthcare,0.0207
BRK,2025Q1,Technology,0.2695
BRK,2025Q2,Communication Services,0.010700000000000001
BRK,2025Q2,Consumer Discretionary,0.0085
BRK,2025Q2,Consumer Staples,0.1649
BRK,2025Q2,Energy,0.1111
BRK,2025Q2,Financials,0.4092
BRK,2025Q2,Healthcare,0.024800000000000003
BRK,2025Q2,Technology,0.238
BRK,2025Q3,Communication Services,0.027100000000000003
BRK,2025Q3,Consumer Discretionary,0.008199999999999999
BRK,2025Q3,Consumer Staples,0.1503
BRK,2025Q3,Energy,0.1177
BRK,2025Q3,Financials,0.39990000000000003
BRK,2025Q3,Healthcare,0.0225
BRK,2025Q3,Technology,0.2363
BRK,2025Q4,Communication Services,0.029500000000000002
BRK,2025Q4,Consumer Discretionary,0.0051
BRK,2025Q4,Consumer Staples,0.1487
BRK,2025Q4,Energy,0.1121
BRK,2025Q4,Financials,0.4186
BRK,2025Q4,Healthcare,0.019299999999999998
BRK,2025Q4,Technology,0.234
BRK,2026Q1,Communication Services,0.0827
BRK,2026Q1,Consumer Staples,0.1572
BRK,2026Q1,Energy,0.13190000000000002
BRK,2026Q1,Financials,0.3621
BRK,2026Q1,Healthcare,0.0176
BRK,2026Q1,Industrials,0.0101
BRK,2026Q1,Technology,0.2284
BRK,2026Q2,Communication Services,0.1459
BRK,2026Q2,Consumer Discretionary,0.004
BRK,2026Q2,Consumer Staples,0.1415
BRK,2026Q2,Energy,0.0897
BRK,2026Q2,Financials,0.3438
BRK,2026Q2,Healthcare,0.0215
BRK,2026Q2,Industrials,0.0179
BRK,2026Q2,Technology,0.22799999999999998
DA,2016Q4,Communication Services,0.20120000000000002
DA,2016Q4,Financials,0.162
DA,2016Q4,Industrials,0.1953
DA,2016Q4,Technology,0.4415
DA,2017Q1,Communication Services,0.2918
DA,2017Q1,Consumer Staples,0.10980000000000001
DA,2017Q1,Financials,0.1073
DA,2017Q1,Industrials,0.12539999999999998
DA,2017Q1,Technology,0.36560000000000004
DA,2017Q2,Communication Services,0.3892
DA,2017Q2,Consumer Staples,0.0942
DA,2017Q2,Financials,0.0958
DA,2017Q2,Industrials,0.11410000000000001
DA,2017Q2,Technology,0.3067
DA,2017Q3,Communication Services,0.3699
DA,2017Q3,Consumer Staples,0.1751
DA,2017Q3,Industrials,0.109
DA,2017Q3,Technology,0.34609999999999996
DA,2017Q4,Communication Services,0.39280000000000004
DA,2017Q4,Consumer Staples,0.20389999999999997
DA,2017Q4,Industrials,0.1595
DA,2017Q4,Technology,0.24380000000000002
DA,2018Q1,Communication Services,0.3421
DA,2018Q1,Consumer Discretionary,0.1233
DA,2018Q1,Consumer Staples,0.09880000000000001
DA,2018Q1,Industrials,0.20500000000000002
DA,2018Q1,Technology,0.2309
DA,2018Q2,Communication Services,0.39799999999999996
DA,2018Q2,Consumer Discretionary,0.0337
DA,2018Q2,Consumer Staples,0.12119999999999999
DA,2018Q2,Financials,0.095
DA,2018Q2,Industrials,0.16290000000000002
DA,2018Q2,Technology,0.1892
DA,2018Q3,Communication Services,0.3635
DA,2018Q3,Consumer Discretionary,0.0286
DA,2018Q3,Consumer Staples,0.1013
DA,2018Q3,Financials,0.09359999999999999
DA,2018Q3,Industrials,0.1306
DA,2018Q3,Technology,0.2823
DA,2018Q4,Communication Services,0.4416
DA,2018Q4,Consumer Discretionary,0.0323
DA,2018Q4,Consumer Staples,0.0728
DA,2018Q4,Financials,0.1117
DA,2018Q4,Industrials,0.0625
DA,2018Q4,Technology,0.2792
DA,2019Q1,Communication Services,0.38830000000000003
DA,2019Q1,Consumer Discretionary,0.1669
DA,2019Q1,Financials,0.13140000000000002
DA,2019Q1,Industrials,0.08130000000000001
DA,2019Q1,Technology,0.2322
DA,2019Q2,Communication Services,0.3383
DA,2019Q2,Consumer Discretionary,0.1726
DA,2019Q2,Financials,0.08039999999999999
DA,2019Q2,Industrials,0.057300000000000004
DA,2019Q2,Technology,0.1751
DA,2019Q2,Unknown,0.1764
DA,2019Q3,Communication Services,0.31060000000000004
DA,2019Q3,Consumer Discretionary,0.189
DA,2019Q3,Financials,0.098
DA,2019Q3,Industrials,0.058600000000000006
DA,2019Q3,Technology,0.1399
DA,2019Q3,Unknown,0.20390000000000003
DA,2019Q4,Communication Services,0.30400000000000005
DA,2019Q4,Consumer Discretionary,0.199
DA,2019Q4,Financials,0.0926
DA,2019Q4,Technology,0.1328
DA,2019Q4,Unknown,0.2716
DA,2020Q1,Communication Services,0.5011
DA,2020Q1,Consumer Discretionary,0.0843
DA,2020Q1,Financials,0.0613
DA,2020Q1,Technology,0.1413
DA,2020Q1,Unknown,0.21209999999999998
DA,2020Q2,Communication Services,0.4929
DA,2020Q2,Consumer Discretionary,0.0533
DA,2020Q2,Financials,0.0701
DA,2020Q2,Technology,0.26549999999999996
DA,2020Q2,Unknown,0.1182
DA,2020Q3,Communication Services,0.5261
DA,2020Q3,Consumer Discretionary,0.1073
DA,2020Q3,Financials,0.0745
DA,2020Q3,Technology,0.2208
DA,2020Q3,Unknown,0.0714
DA,2020Q4,Communication Services,0.4679
DA,2020Q4,Consumer Discretionary,0.1733
DA,2020Q4,Financials,0.0785
DA,2020Q4,Technology,0.2804
DA,2021Q1,Communication Services,0.38539999999999996
DA,2021Q1,Consumer Discretionary,0.1901
DA,2021Q1,Financials,0.1182
DA,2021Q1,Technology,0.3063
DA,2021Q2,Communication Services,0.41269999999999996
DA,2021Q2,Consumer Discretionary,0.154
DA,2021Q2,Financials,0.1206
DA,2021Q2,Technology,0.3127
DA,2021Q3,Communication Services,0.40700000000000003
DA,2021Q3,Consumer Discretionary,0.1009
DA,2021Q3,Financials,0.1292
DA,2021Q3,Technology,0.3629
DA,2021Q4,Communication Services,0.3604
DA,2021Q4,Consumer Discretionary,0.0679
DA,2021Q4,Financials,0.0919
DA,2021Q4,Technology,0.43179999999999996
DA,2021Q4,Unknown,0.048
DA,2022Q1,Communication Services,0.4396
DA,2022Q1,Consumer Discretionary,0.0713
DA,2022Q1,Financials,0.0823
DA,2022Q1,Technology,0.3558
DA,2022Q1,Unknown,0.051100000000000007
DA,2022Q2,Communication Services,0.5315
DA,2022Q2,Financials,0.0645
DA,2022Q2,Technology,0.3443
DA,2022Q2,Unknown,0.059800000000000006
DA,2022Q3,Communication Services,0.4375
DA,2022Q3,Financials,0.08109999999999999
DA,2022Q3,Technology,0.38680000000000003
DA,2022Q3,Unknown,0.0946
DA,2022Q4,Communication Services,0.48160000000000003
DA,2022Q4,Financials,0.07719999999999999
DA,2022Q4,Technology,0.44120000000000004
DA,2023Q1,Communication Services,0.5281
DA,2023Q1,Financials,0.061900000000000004
DA,2023Q1,Technology,0.41019999999999995
DA,2023Q2,Communication Services,0.5571
DA,2023Q2,Financials,0.057300000000000004
DA,2023Q2,Industrials,0.036699999999999997
DA,2023Q2,Technology,0.3489
DA,2023Q3,Communication Services,0.473
DA,2023Q3,Consumer Staples,0.0377
DA,2023Q3,Financials,0.0993
DA,2023Q3,Industrials,0.0673
DA,2023Q3,Technology,0.32280000000000003
DA,2023Q4,Communication Services,0.3846
DA,2023Q4,Financials,0.09699999999999999
DA,2023Q4,Healthcare,0.0935
DA,2023Q4,Industrials,0.0989
DA,2023Q4,Technology,0.3261
DA,2024Q1,Communication Services,0.35120000000000007
DA,2024Q1,Consumer Discretionary,0.08529999999999999
DA,2024Q1,Financials,0.0944
DA,2024Q1,Healthcare,0.0901
DA,2024Q1,Industrials,0.087
DA,2024Q1,Technology,0.2918
DA,2024Q2,Communication Services,0.2806
DA,2024Q2,Consumer Discretionary,0.1072
DA,2024Q2,Financials,0.0828
DA,2024Q2,Healthcare,0.09119999999999999
DA,2024Q2,Industrials,0.0697
DA,2024Q2,Technology,0.36869999999999997
DA,2024Q3,Communication Services,0.3531
DA,2024Q3,Consumer Discretionary,0.1
DA,2024Q3,Financials,0.0978
DA,2024Q3,Healthcare,0.0892
DA,2024Q3,Industrials,0.0732
DA,2024Q3,Technology,0.2866
DA,2024Q4,Communication Services,0.3025
DA,2024Q4,Consumer Discretionary,0.124
DA,2024Q4,Financials,0.11449999999999999
DA,2024Q4,Healthcare,0.0934
DA,2024Q4,Industrials,0.0533
DA,2024Q4,Technology,0.31229999999999997
DA,2025Q1,Communication Services,0.25670000000000004
DA,2025Q1,Consumer Discretionary,0.22970000000000002
DA,2025Q1,Financials,0.0593
DA,2025Q1,Healthcare,0.1502
DA,2025Q1,Industrials,0.1233
DA,2025Q1,Technology,0.1809
DA,2025Q2,Communication Services,0.26749999999999996
DA,2025Q2,Consumer Discretionary,0.21359999999999998
DA,2025Q2,Healthcare,0.23600000000000002
DA,2025Q2,Industrials,0.14279999999999998
DA,2025Q2,Technology,0.14
DA,2025Q3,Communication Services,0.22089999999999999
DA,2025Q3,Consumer Discretionary,0.1976
DA,2025Q3,Healthcare,0.2933
DA,2025Q3,Industrials,0.1375
DA,2025Q3,Technology,0.1507
DA,2025Q4,Communication Services,0.22600000000000003
DA,2025Q4,Consumer Discretionary,0.1501
DA,2025Q4,Healthcare,0.2934
DA,2025Q4,Industrials,0.1518
DA,2025Q4,Technology,0.1789
DA,2026Q1,Communication Services,0.2479
DA,2026Q1,Consumer Discretionary,0.1175
DA,2026Q1,Financials,0.0754
DA,2026Q1,Healthcare,0.17459999999999998
DA,2026Q1,Industrials,0.237
DA,2026Q1,Technology,0.1476
DA,2026Q2,Communication Services,0.294
DA,2026Q2,Consumer Discretionary,0.166
DA,2026Q2,Financials,0.0825
DA,2026Q2,Healthcare,0.1646
DA,2026Q2,Industrials,0.12669999999999998
DA,2026Q2,Technology,0.1661
HC,2019Q4,Technology,1.0
HC,2020Q1,Consumer Discretionary,0.04769999999999999
HC,2020Q1,Financials,0.3679
HC,2020Q1,Technology,0.5844
HC,2020Q2,Communication Services,0.2442
HC,2020Q2,Financials,0.2759
HC,2020Q2,Technology,0.4799
HC,2020Q3,Communication Services,0.3621
HC,2020Q3,Financials,0.22699999999999998
HC,2020Q3,Technology,0.41090000000000004
HC,2020Q4,Communication Services,0.2274
HC,2020Q4,Consumer Discretionary,0.0355
HC,2020Q4,Financials,0.20629999999999998
HC,2020Q4,Technology,0.5307000000000001
HC,2021Q1,Communication Services,0.17509999999999998
HC,2021Q1,Consumer Discretionary,0.0246
HC,2021Q1,Financials,0.24170000000000003
HC,2021Q1,Technology,0.5586000000000001
HC,2021Q2,Communication Services,0.2023
HC,2021Q2,Consumer Discretionary,0.0225
HC,2021Q2,Financials,0.2486
HC,2021Q2,Technology,0.5267000000000001
HC,2021Q3,Communication Services,0.1971
HC,2021Q3,Consumer Discretionary,0.015300000000000001
HC,2021Q3,Financials,0.35830000000000006
HC,2021Q3,Technology,0.4292
HC,2021Q4,Communication Services,0.2039
HC,2021Q4,Financials,0.3443
HC,2021Q4,Technology,0.4518
HC,2022Q1,Communication Services,0.1827
HC,2022Q1,Financials,0.3859
HC,2022Q1,Technology,0.4314
HC,2022Q2,Communication Services,0.2328
HC,2022Q2,Financials,0.3732
HC,2022Q2,Technology,0.394
HC,2022Q3,Communication Services,0.21989999999999998
HC,2022Q3,Financials,0.3902
HC,2022Q3,Technology,0.38999999999999996
HC,2022Q4,Communication Services,0.2565
HC,2022Q4,Financials,0.39459999999999995
HC,2022Q4,Technology,0.34880000000000005
HC,2023Q1,Communication Services,0.28459999999999996
HC,2023Q1,Financials,0.45199999999999996
HC,2023Q1,Technology,0.26339999999999997
HC,2023Q2,Communication Services,0.37549999999999994
HC,2023Q2,Financials,0.5423
HC,2023Q2,Technology,0.08220000000000001
HC,2023Q3,Communication Services,0.4034
HC,2023Q3,Financials,0.5252
HC,2023Q3,Technology,0.07150000000000001
HC,2023Q4,Communication Services,0.38079999999999997
HC,2023Q4,Financials,0.5480999999999999
HC,2023Q4,Technology,0.071
HC,2024Q1,Communication Services,0.3748
HC,2024Q1,Financials,0.5674999999999999
HC,2024Q1,Technology,0.0576
HC,2024Q2,Communication Services,0.3988
HC,2024Q2,Energy,0.0361
HC,2024Q2,Financials,0.5027
HC,2024Q2,Technology,0.0625
HC,2024Q3,Communication Services,0.37639999999999996
HC,2024Q3,Energy,0.0434
HC,2024Q3,Financials,0.5502
HC,2024Q3,Technology,0.029900000000000003
HC,2024Q4,Communication Services,0.39139999999999997
HC,2024Q4,Energy,0.038
HC,2024Q4,Financials,0.5413
HC,2024Q4,Technology,0.029300000000000003
HC,2025Q1,Communication Services,0.3509
HC,2025Q1,Energy,0.048100000000000004
HC,2025Q1,Financials,0.5899
HC,2025Q1,Technology,0.0111
HC,2025Q2,Communication Services,0.3284
HC,2025Q2,Consumer Discretionary,0.1793
HC,2025Q2,Energy,0.0339
HC,2025Q2,Financials,0.45009999999999994
HC,2025Q2,Technology,0.0084
HC,2025Q3,Communication Services,0.3762
HC,2025Q3,Consumer Discretionary,0.1885
HC,2025Q3,Energy,0.0288
HC,2025Q3,Financials,0.39780000000000004
HC,2025Q3,Technology,0.0087
HC,2025Q4,Communication Services,0.4386
HC,2025Q4,Consumer Discretionary,0.1615
HC,2025Q4,Energy,0.0169
HC,2025Q4,Financials,0.3746
HC,2025Q4,Technology,0.0084
HC,2026Q1,Communication Services,0.4673
HC,2026Q1,Consumer Discretionary,0.1862
HC,2026Q1,Energy,0.0298
HC,2026Q1,Financials,0.3081
HC,2026Q1,Technology,0.0088
HC,2026Q2,Communication Services,0.4943
HC,2026Q2,Consumer Discretionary,0.2506
HC,2026Q2,Financials,0.2466
HC,2026Q2,Technology,0.0086
VFC,2019Q1,Consumer Discretionary,0.004699999999999999
VFC,2019Q1,Financials,0.637
VFC,2019Q1,Technology,0.3583
VFC,2019Q2,Consumer Discretionary,0.0045000000000000005
VFC,2019Q2,Financials,0.6378
VFC,2019Q2,Technology,0.35760000000000003
VFC,2019Q3,Consumer Discretionary,0.0039000000000000003
VFC,2019Q3,Financials,0.6667
VFC,2019Q3,Technology,0.32939999999999997
VFC,2019Q4,Consumer Discretionary,0.0036
VFC,2019Q4,Financials,0.6568
VFC,2019Q4,Technology,0.3396
VFC,2020Q1,Consumer Discretionary,0.0040999999999999995
VFC,2020Q1,Financials,0.6835
VFC,2020Q1,Technology,0.3123
VFC,2020Q2,Consumer Discretionary,0.0034000000000000002
VFC,2020Q2,Financials,0.6815
VFC,2020Q2,Technology,0.3152
VFC,2020Q3,Consumer Discretionary,0.0034000000000000002
VFC,2020Q3,Financials,0.7012
VFC,2020Q3,Technology,0.29550000000000004
VFC,2020Q4,Consumer Discretionary,0.003
VFC,2020Q4,Financials,0.6907
VFC,2020Q4,Technology,0.30610000000000004
VFC,2021Q1,Consumer Discretionary,0.0027
VFC,2021Q1,Financials,0.7034
VFC,2021Q1,Technology,0.2938
VFC,2021Q2,Consumer Discretionary,0.1052
VFC,2021Q2,Financials,0.6496000000000001
VFC,2021Q2,Technology,0.24509999999999998
VFC,2021Q3,Consumer Discretionary,0.1056
VFC,2021Q3,Financials,0.6592
VFC,2021Q3,Technology,0.23520000000000002
VFC,2021Q4,Consumer Discretionary,0.10300000000000001
VFC,2021Q4,Financials,0.6226999999999999
VFC,2021Q4,Technology,0.2742
VFC,2022Q1,Consumer Discretionary,0.1013
VFC,2022Q1,Financials,0.616
VFC,2022Q1,Technology,0.2827
VFC,2022Q2,Consumer Discretionary,0.0776
VFC,2022Q2,Financials,0.644
VFC,2022Q2,Technology,0.2783
VFC,2022Q3,Consumer Discretionary,0.0876
VFC,2022Q3,Financials,0.6159
VFC,2022Q3,Technology,0.2966
VFC,2022Q4,Consumer Discretionary,0.0377
VFC,2022Q4,Financials,0.6316
VFC,2022Q4,Technology,0.3307
VFC,2023Q1,Financials,0.6052
VFC,2023Q1,Technology,0.39480000000000004
VFC,2023Q2,Financials,0.64
VFC,2023Q2,Technology,0.3601
VFC,2023Q3,Financials,0.6099
VFC,2023Q3,Technology,0.39010000000000006
VFC,2023Q4,Financials,0.59
VFC,2023Q4,Technology,0.4099
VFC,2024Q1,Financials,0.5871000000000001
VFC,2024Q1,Technology,0.41290000000000004
VFC,2024Q2,Financials,0.5548
VFC,2024Q2,Technology,0.4452
VFC,2024Q3,Financials,0.5503
VFC,2024Q3,Technology,0.4497
VFC,2024Q4,Financials,0.5730999999999999
VFC,2024Q4,Industrials,0.008100000000000001
VFC,2024Q4,Technology,0.4188
VFC,2025Q1,Financials,0.6084999999999999
VFC,2025Q1,Industrials,0.008
VFC,2025Q1,Technology,0.38349999999999995
VFC,2025Q2,Financials,0.6134000000000001
VFC,2025Q2,Industrials,0.008199999999999999
VFC,2025Q2,Technology,0.3783
VFC,2025Q3,Financials,0.6423
VFC,2025Q3,Industrials,0.0089
VFC,2025Q3,Technology,0.3488
VFC,2025Q4,Financials,0.6341
