type,start_date,end_date,start_price,end_price,return,duration_days
bear,2014-11-12,2015-01-14,423.5610046386719,178.10299682617188,-0.5795104013928133,63
bull,2015-01-14,2015-03-11,178.10299682617188,296.3789978027344,0.6640876520005983,56
bear,2015-03-11,2015-04-14,296.3789978027344,219.15899658203125,-0.26054478148988025,34
bull,2015-04-14,2015-07-12,219.15899658203125,310.86700439453125,0.4184542238409714,89
bear,2015-07-12,2015-08-24,310.86700439453125,210.4949951171875,-0.3228776546190101,43
bull,2015-08-24,2016-06-16,210.4949951171875,766.3079833984375,2.6405045306270387,297
bear,2016-06-16,2016-08-02,766.3079833984375,547.4650268554688,-0.2855809430203764,47
bull,2016-08-02,2017-03-03,547.4650268554688,1274.989990234375,1.3288976056747703,213
bear,2017-03-03,2017-03-24,1274.989990234375,937.52001953125,-0.264684407946677,21
bull,2017-03-24,2017-06-11,937.52001953125,2958.110107421875,2.155250070180793,79
bear,2017-06-11,2017-07-16,2958.110107421875,1929.8199462890625,-0.3476172704162839,35
bull,2017-07-16,2017-12-16,1929.8199462890625,19497.400390625,9.10322254577036,153
bear,2017-12-16,2018-04-06,19497.400390625,6636.31982421875,-0.6596305306727088,111
bull,2018-04-06,2018-05-05,6636.31982421875,9858.150390625,0.4854845233119147,29
bear,2018-05-05,2018-06-28,9858.150390625,5903.43994140625,-0.40116150520280547,54
bull,2018-06-28,2018-07-24,5903.43994140625,8424.26953125,0.42701028804627206,26
bear,2018-07-24,2018-12-15,8424.26953125,3236.76171875,-0.6157813200606692,144
bull,2018-12-15,2019-06-26,3236.76171875,13016.2314453125,3.0213746257290817,193
bear,2019-06-26,2019-12-17,13016.2314453125,6640.51513671875,-0.48982813000684766,174
bull,2019-12-17,2020-02-12,6640.51513671875,10326.0546875,0.5550080791777805,57
bear,2020-02-12,2020-03-12,10326.0546875,4970.7880859375,-0.5186169126186414,29
bull,2020-03-12,2021-04-13,4970.7880859375,63503.45703125,11.775329773341792,397
bear,2021-04-13,2021-07-20,63503.45703125,29807.34765625,-0.5306185040984174,98
bull,2021-07-20,2021-11-08,29807.34765625,67566.828125,1.2667843145323463,111
bear,2021-11-08,2022-01-22,67566.828125,35030.25,-0.48154662617589017,75
bull,2022-01-22,2022-03-29,35030.25,47465.73046875,0.35499262690817224,66
bear,2022-03-29,2022-06-18,47465.73046875,19017.642578125,-0.5993395152604754,81
bull,2022-06-18,2022-08-13,19017.642578125,24424.068359375,0.28428475080653426,56
bear,2022-08-13,2022-09-21,24424.068359375,18547.400390625,-0.24060970851706132,39
bull,2022-09-21,2022-11-05,18547.400390625,21282.69140625,0.14747570861777404,45
bear,2022-11-05,2022-11-21,21282.69140625,15787.2841796875,-0.25821016344524383,16
bull,2022-11-21,2023-04-14,15787.2841796875,30485.69921875,0.9310287236087142,144
bull,2023-06-14,2023-07-13,25124.67578125,31476.048828125,0.25279422915438743,29
bear,2023-07-13,2023-09-11,31476.048828125,25162.654296875,-0.200577733429132,60
bull,2023-09-11,2024-03-13,25162.654296875,73083.5,1.9044431933826784,184
bear,2024-03-13,2024-05-01,73083.5,58254.01171875,-0.2029115775961743,49
bull,2024-05-01,2024-07-28,58254.01171875,68255.8671875,0.17169384860632242,88
bear,2024-07-28,2024-09-06,68255.8671875,53948.75390625,-0.20961001406586954,40
bull,2024-09-06,2025-01-21,53948.75390625,106146.265625,0.9675387833694318,137
bear,2025-01-21,2025-04-08,106146.265625,76271.953125,-0.2814447811620787,77
bull,2025-04-08,2025-05-22,76271.953125,111673.28125,0.4641460808926938,44
bull,2025-06-22,2025-08-13,100987.140625,123344.0625,0.22138384884090279,52
bull,2025-08-31,2025-10-06,108236.7109375,124752.53125,0.15258982067587823,36
bear,2025-10-06,2025-11-22,124752.53125,84648.359375,-0.3214698048461442,47
bull,2025-11-22,2026-01-14,84648.359375,96929.328125,0.14508218281696617,53
bear,2026-01-14,2026-02-05,96929.328125,62702.09765625,-0.35311531742601765,22
bull,2026-02-05,2026-05-10,62702.09765625,82138.9296875,0.3099869503219497,94
bear,2026-05-10,2026-06-30,82138.9296875,58558.859375,-0.28707545133849544,51
