type,start_date,end_date,start_price,end_price,return,duration_days
bear,2014-11-12,2015-01-14,423.5610046386719,178.10299682617188,-0.5795104013928133,63
bear,2015-03-11,2015-04-14,296.3789978027344,219.15899658203125,-0.26054478148988025,34
bear,2015-07-12,2015-08-24,310.86700439453125,210.4949951171875,-0.3228776546190101,43
bear,2016-06-16,2016-08-02,766.3079833984375,547.4650268554688,-0.2855809430203764,47
bear,2017-03-03,2017-03-24,1274.989990234375,937.52001953125,-0.264684407946677,21
bear,2017-06-11,2017-07-16,2958.110107421875,1929.8199462890625,-0.3476172704162839,35
bear,2017-12-16,2018-04-06,19497.400390625,6636.31982421875,-0.6596305306727088,111
bear,2018-05-05,2018-06-28,9858.150390625,5903.43994140625,-0.40116150520280547,54
bear,2018-07-24,2018-12-15,8424.26953125,3236.76171875,-0.6157813200606692,144
bear,2019-06-26,2019-12-17,13016.2314453125,6640.51513671875,-0.48982813000684766,174
bear,2020-02-12,2020-03-12,10326.0546875,4970.7880859375,-0.5186169126186414,29
bear,2021-04-13,2021-07-20,63503.45703125,29807.34765625,-0.5306185040984174,98
bear,2021-11-08,2022-01-22,67566.828125,35030.25,-0.48154662617589017,75
bear,2022-03-29,2022-06-18,47465.73046875,19017.642578125,-0.5993395152604754,81
bear,2022-08-13,2022-09-21,24424.068359375,18547.400390625,-0.24060970851706132,39
bear,2022-11-05,2022-11-21,21282.69140625,15787.2841796875,-0.25821016344524383,16
bear,2023-07-13,2023-09-11,31476.048828125,25162.654296875,-0.200577733429132,60
bear,2024-03-13,2024-05-01,73083.5,58254.01171875,-0.2029115775961743,49
bear,2024-07-28,2024-09-06,68255.8671875,53948.75390625,-0.20961001406586954,40
bear,2025-01-21,2025-04-08,106146.265625,76271.953125,-0.2814447811620787,77
bear,2025-10-06,2025-11-22,124752.53125,84648.359375,-0.3214698048461442,47
bear,2026-01-14,2026-02-05,96929.328125,62702.09765625,-0.35311531742601765,22
bear,2026-05-10,2026-06-30,82138.9296875,58558.859375,-0.28707545133849544,51
