ticker,n_trades,n_buy,n_sell,net_signed_usd,n_politicians,issuer,sector,buy_pct,consensus
SPYG:US,1,0,1,-8000.0,1,SPDR Portfolio S&P 500 Growth ETF,Financials,0.0,SELL
CAT:US,1,0,1,-8000.0,1,Caterpillar Inc,Industrials,0.0,SELL
DEO:US,1,0,1,-8000.0,1,Diageo PLC,Consumer Staples,0.0,SELL
ALB:US,1,0,1,-8000.0,1,Albemarle Corp,Materials,0.0,SELL
ALC:US,1,0,1,-8000.0,1,Alcon Inc,Healthcare,0.0,SELL
ALL:US,1,0,1,-8000.0,1,The Allstate Corporation,Financials,0.0,SELL
TYL:US,1,0,1,-8000.0,1,Tyler Technologies Inc,Technology,0.0,SELL
AMGN:US,3,1,2,-8000.0,2,Amgen Inc,Healthcare,0.3333333333333333,SELL
TTD:US,1,0,1,-8000.0,1,The Trade Desk Inc,Communication Services,0.0,SELL
AMT:US,1,0,1,-8000.0,1,American Tower Corp,Real Estate,0.0,SELL
TSCO:US,1,0,1,-8000.0,1,Tractor Supply Co,Consumer Discretionary,0.0,SELL
TRV:US,1,0,1,-8000.0,1,The Travelers Companies Inc,Financials,0.0,SELL
TPYP:US,1,0,1,-8000.0,1,Managed Portfolio Series Tortoise North American Pipeline Fund,Financials,0.0,SELL
ADI:US,1,0,1,-8000.0,1,Analog Devices Inc,Technology,0.0,SELL
VEA:US,1,0,1,-8000.0,1,Vanguard FTSE Developed Markets ETF,Financials,0.0,SELL
AWK:US,1,0,1,-8000.0,1,American Water Works Company Inc,Utilities,0.0,SELL
VNQI:US,1,0,1,-8000.0,1,Vanguard Global ex-U.S. Real Estate ETF,Real Estate,0.0,SELL
BIIB:US,1,0,1,-8000.0,1,Biogen Inc,Healthcare,0.0,SELL
VRT:US,1,0,1,-8000.0,1,Vertiv Holdings Co,Industrials,0.0,SELL
SYK:US,1,0,1,-8000.0,1,Stryker Corp,Healthcare,0.0,SELL
BUD:US,1,0,1,-8000.0,1,Anheuser-Busch InBev SA/NV,Consumer Staples,0.0,SELL
CARR:US,1,0,1,-8000.0,1,Carrier Global Corp,Industrials,0.0,SELL
STLD:US,1,0,1,-8000.0,1,Steel Dynamics Inc,Materials,0.0,SELL
STE:US,1,0,1,-8000.0,1,Steris PLC,Healthcare,0.0,SELL
DD:US,1,0,1,-8000.0,1,DuPont  De Nemours Inc,Materials,0.0,SELL
OGN:US,1,0,1,-8000.0,1,Organon & Co,Healthcare,0.0,SELL
LHX:US,1,0,1,-8000.0,1,L3Harris Technologies Inc,Industrials,0.0,SELL
IVV:US,1,0,1,-8000.0,1,iShares Core S&P 500 ETF,Financials,0.0,SELL
LRCX:US,1,0,1,-8000.0,1,Lam Research Corp,Technology,0.0,SELL
LLY:US,1,0,1,-8000.0,1,Eli Lilly and Co,Healthcare,0.0,SELL
FAST:US,1,0,1,-8000.0,1,Fastenal Co,Industrials,0.0,SELL
KVUE:US,1,0,1,-8000.0,1,KENVUE INC,Consumer Staples,0.0,SELL
FDX:US,1,0,1,-8000.0,1,FedEx Corp,Industrials,0.0,SELL
KMB:US,1,0,1,-8000.0,1,Kimberly-Clark Corp,Consumer Staples,0.0,SELL
AAXJ:US,1,0,1,-8000.0,1,iShares MSCI All Country Asia ex Japan ETF,Financials,0.0,SELL
FISV:US,1,0,1,-8000.0,1,Fiserv Inc,Technology,0.0,SELL
FN:US,1,0,1,-8000.0,1,FABRINET,Technology,0.0,SELL
FTGC:US,1,0,1,-8000.0,1,FIRST TR GLOBAL TACTICAL CMD,Materials,0.0,SELL
IWM:US,1,0,1,-8000.0,1,iShares Trust - iShares Russell 2000 ETF,Financials,0.0,SELL
IT:US,1,0,1,-8000.0,1,Gartner Inc,Technology,0.0,SELL
ABB:US,1,0,1,-8000.0,1,ABB Ltd,Unknown,0.0,SELL
ISRG:US,1,0,1,-8000.0,1,Intuitive Surgical Inc,Healthcare,0.0,SELL
GDX:US,1,0,1,-8000.0,1,VanEck Vectors ETF Trust VanEck Vectors Gold Miners ETF,Unknown,0.0,SELL
GEM:US,1,0,1,-8000.0,1,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,Financials,0.0,SELL
GEVO:US,1,0,1,-8000.0,1,GEVO INC,Materials,0.0,SELL
GLDM:US,1,0,1,-8000.0,1,SPDR GOLD MINISHARES TR,Unknown,0.0,SELL
GPS:US,1,0,1,-8000.0,1,Gap Inc,Consumer Discretionary,0.0,SELL
GTLS:US,1,0,1,-8000.0,1,Chart Industries Inc,Industrials,0.0,SELL
HUBB:US,1,0,1,-8000.0,1,Hubbell Inc,Industrials,0.0,SELL
HRL:US,1,0,1,-8000.0,1,Hormel Foods Corp,Consumer Staples,0.0,SELL
YUM:US,1,0,1,-8000.0,1,YUM BRANDS  Inc,Consumer Discretionary,0.0,SELL
HON:US,1,0,1,-8000.0,1,Honeywell International Inc,Industrials,0.0,SELL
LULU:US,1,0,1,-8000.0,1,Lululemon Athletica Inc,Consumer Discretionary,0.0,SELL
ADP:US,1,0,1,-8000.0,1,Automatic Data Processing Inc,Technology,0.0,SELL
MSI:US,1,0,1,-8000.0,1,Motorola Solutions Inc,Technology,0.0,SELL
EIPI:US,1,0,1,-8000.0,1,FT EGY  PARTNER ENHANCED ETF,Financials,0.0,SELL
ELF:US,1,0,1,-8000.0,1,e.l.f. Beauty Inc,Consumer Staples,0.0,SELL
MSCI:US,1,0,1,-8000.0,1,MSCI Inc,Financials,0.0,SELL
MRSH:US,1,0,1,-8000.0,1,Marsh & McLennan Companies Inc,Financials,0.0,SELL
ELV:US,1,0,1,-8000.0,1,Elevance Health Inc,Healthcare,0.0,SELL
ABNB:US,1,0,1,-8000.0,1,Airbnb Inc,Consumer Discretionary,0.0,SELL
EFA:US,1,0,1,-8000.0,1,iShares MSCI EAFE ETF,Financials,0.0,SELL
MDLZ:US,1,0,1,-8000.0,1,Mondelez International Inc,Consumer Staples,0.0,SELL
ECL:US,1,0,1,-8000.0,1,Ecolab Inc,Materials,0.0,SELL
SOLS:US,2,0,2,-16000.0,2,SOLSTICE ADVANCED MTRILS INC,Materials,0.0,SELL
MDB:US,2,0,2,-16000.0,1,MongoDB Inc,Technology,0.0,SELL
ITW:US,2,0,2,-16000.0,2,Illinois Tool Works Inc,Industrials,0.0,SELL
CART:US,2,0,2,-16000.0,1,MAPLEBEAR INC,Consumer Discretionary,0.0,SELL
OTIS:US,2,0,2,-16000.0,2,Otis Worldwide Corp,Industrials,0.0,SELL
LEN:US,2,0,2,-16000.0,1,Lennar Corp,Consumer Discretionary,0.0,SELL
